urlid,dfc-b:addressOf,dfc-b:hasStreet,dfc-b:hasPostalCode,dfc-b:hasCity,dfc-b:hasCountry,dfc-b:region,dfc-b:latitude,dfc-b:longitude
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,34 Farm Lane,NR2 4PE,Norwich,United Kingdom,Norfolk,52.58769,1.24319
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,46 Orchard Way,BS5 4ER,Bristol,United Kingdom,Somerset,51.55023,-2.6812
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,114 Old Orchard,BN5B 1PR,Lewes,United Kingdom,East Sussex,50.78379,0.00977
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,9 Hollow Lane,BA2A 8DB,Bath,United Kingdom,Somerset,51.46762,-2.38335
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,108 Old Orchard,GL3 1LW,Stroud,United Kingdom,Gloucestershire,51.62192,-2.17241
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,63 High Street,YO4 5JB,York,United Kingdom,North Yorkshire,54.09408,-1.2043
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,71 Orchard Way,BA8A 6TW,Frome,United Kingdom,Somerset,51.09921,-2.46369
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,13 Old Orchard,CT8B 3YY,Canterbury,United Kingdom,Kent,51.37225,0.98712
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,104 The Green,HR5 3SG,Hereford,United Kingdom,Herefordshire,52.17235,-2.84738
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/addresses/1/,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/,85 Meadow View,TQ7 5TN,Totnes,United Kingdom,Devon,50.49915,-3.59499
