urlid,dfc-b:suppliedBy,dfc-b:hasType,dfc-b:name,dfc-b:description,dfc-b:URL
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-beef-topside-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#beef,Beef - Topside,Beef - Topside from Somerset Levels Collective — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-free-range-eggs-12-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#egg,Free Range Eggs (12),Free Range Eggs (12) from Somerset Levels Collective — 12 eggs.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-plums-victoria-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#plum,Plums - Victoria,Plums - Victoria from Somerset Levels Collective — 500 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-beetroot-bunch-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#beetroot,Beetroot - Bunch,Beetroot - Bunch from Somerset Levels Collective — bunch.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-cucumber-5,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#cucumber,Cucumber,Cucumber from Somerset Levels Collective — 1 piece.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-leeks-trimmed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#leek,Leeks - Trimmed,Leeks - Trimmed from Wye Valley Pastures — 500 g.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-seasonal-veg-box-small-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#vegetable,Seasonal Veg Box - Small,Seasonal Veg Box - Small from Wye Valley Pastures — 1 box.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#fruit-juice,Apple Juice - Cloudy,Apple Juice - Cloudy from Wye Valley Pastures — 1 L.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-onions-brown-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#onion,Onions - Brown,Onions - Brown from Wye Valley Pastures — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#pear,Pears - Conference,Pears - Conference from Bramble Hill Market Garden — 1 kg.,
https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-raspberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,https://github.com/datafoodconsortium/taxonomies/releases/latest/download/productTypes.rdf#raspberry,Raspberries,Raspberries from Bramble Hill Market Garden — 200 g.,
