urlid,dfc-b:name,dfc-b:definedBy
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/
https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/customer-categories/retail/,Retail,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/moorland-field-farm-totnes/
