urlid,dfc-b:value,dfc-b:hasUnit
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-beef-topside-1,19.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-free-range-eggs-12-2,4.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-plums-victoria-3,3.18,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-beetroot-bunch-4,1.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-cucumber-5,0.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-leeks-trimmed-1,2.6,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-seasonal-veg-box-small-2,12.74,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-apple-juice-cloudy-3,4.01,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-onions-brown-4,2.43,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-pears-conference-1,2.71,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-raspberries-2,3.11,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-free-range-eggs-6-3,2.62,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-potatoes-maris-piper-4,1.86,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-sourdough-loaf-1,3.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-strawberries-2,4.39,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-raw-wildflower-honey-3,6.37,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/blackdown-hills-orchard-bath-kale-curly-4,1.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-rye-bread-1,4.02,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-butter-salted-block-2,2.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-whole-milk-3,1.55,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cotswold-edge-dairy-stroud-chicken-whole-4,9.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-heritage-tomatoes-1,3.27,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-lamb-leg-joint-2,16.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-apples-mixed-heritage-3,3.79,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/cornish-hedgerow-produce-york-pork-shoulder-4,10.86,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-basil-pesto-100g-1,5.12,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-mature-cheddar-cow-2,4.4,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-courgettes-3,2.0,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/tamar-valley-smallholding-frome-jam-strawberry-4,3.5,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-carrots-washed-1,1.77,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-spinach-baby-leaf-2,2.5,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-fresh-goats-cheese-3,4.33,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-potatoes-maris-piper-4,1.94,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/northumbrian-moor-free-range-canterbury-sourdough-loaf-5,3.2,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-pears-conference-1,2.86,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-mature-cheddar-cow-2,3.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-jam-strawberry-3,4.37,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/weald-down-organics-hereford-raw-wildflower-honey-4,5.95,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-chicken-whole-1,8.09,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-spinach-baby-leaf-2,2.93,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-apple-juice-cloudy-3,3.77,dfc-m:GBP
https://demo.fooddatacollaboration.org.uk/api/dfc/prices/moorland-field-farm-totnes-heritage-tomatoes-4,3.73,dfc-m:GBP
