urlid,dfc-b:references,dfc-b:managedBy,dfc-b:sku,dfc-b:stockLimitation
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-beef-topside-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-beef-topside-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,,23
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-free-range-eggs-12-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-free-range-eggs-12-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,,13
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-plums-victoria-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-plums-victoria-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,SOME-PLUMS--03,50
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-beetroot-bunch-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-beetroot-bunch-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,,17
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-cucumber-5,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/somerset-levels-collective-norwich-cucumber-5,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/,SOME-CUCUMB-05,45
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-leeks-trimmed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-leeks-trimmed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,,16
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-seasonal-veg-box-small-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-seasonal-veg-box-small-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,,25
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,WYE--APPLE--03,31
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-onions-brown-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/wye-valley-pastures-bristol-onions-brown-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/,,34
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,,24
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-raspberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-raspberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,,50
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-free-range-eggs-6-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-free-range-eggs-6-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,BRAM-FREE-R-03,21
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/bramble-hill-market-garden-lewes-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/,,60
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-sourdough-loaf-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-sourdough-loaf-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,BLAC-SOURDO-01,43
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-strawberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-strawberries-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,,31
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-raw-wildflower-honey-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-raw-wildflower-honey-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,,30
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/blackdown-hills-orchard-bath-kale-curly-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/blackdown-hills-orchard-bath-kale-curly-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/blackdown-hills-orchard-bath/,,53
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-rye-bread-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-rye-bread-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,,47
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-butter-salted-block-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-butter-salted-block-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,,60
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-whole-milk-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-whole-milk-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,COTS-WHOLE--03,50
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cotswold-edge-dairy-stroud-chicken-whole-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cotswold-edge-dairy-stroud-chicken-whole-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cotswold-edge-dairy-stroud/,,19
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-heritage-tomatoes-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-heritage-tomatoes-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,,22
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-lamb-leg-joint-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-lamb-leg-joint-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,CORN-LAMB-L-02,58
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-apples-mixed-heritage-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-apples-mixed-heritage-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,,43
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/cornish-hedgerow-produce-york-pork-shoulder-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/cornish-hedgerow-produce-york-pork-shoulder-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/cornish-hedgerow-produce-york/,CORN-PORK-S-04,43
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-basil-pesto-100g-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-basil-pesto-100g-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,,100
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,,38
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-courgettes-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-courgettes-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,,18
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/tamar-valley-smallholding-frome-jam-strawberry-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/tamar-valley-smallholding-frome-jam-strawberry-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/tamar-valley-smallholding-frome/,,31
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-carrots-washed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-carrots-washed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,,50
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-spinach-baby-leaf-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,,48
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-fresh-goats-cheese-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-fresh-goats-cheese-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,,52
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-potatoes-maris-piper-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,,44
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/northumbrian-moor-free-range-canterbury-sourdough-loaf-5,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/northumbrian-moor-free-range-canterbury-sourdough-loaf-5,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/northumbrian-moor-free-range-canterbury/,,100
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/weald-down-organics-hereford-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/weald-down-organics-hereford-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,,36
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/weald-down-organics-hereford-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/weald-down-organics-hereford-mature-cheddar-cow-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,WEAL-MATURE-02,24
https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/weald-down-organics-hereford-jam-strawberry-3,https://demo.fooddatacollaboration.org.uk/api/dfc/supplied-products/weald-down-organics-hereford-jam-strawberry-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/weald-down-organics-hereford/,,20
