urlid,dfc-b:offers,dfc-b:offeredTo,dfc-b:hasPrice,dfc-b:stockLimitation
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/somerset-levels-collective-norwich-beef-topside-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-beef-topside-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-beef-topside-1,23
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/somerset-levels-collective-norwich-free-range-eggs-12-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-free-range-eggs-12-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-free-range-eggs-12-2,13
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/somerset-levels-collective-norwich-plums-victoria-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-plums-victoria-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-plums-victoria-3,50
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/somerset-levels-collective-norwich-beetroot-bunch-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-beetroot-bunch-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-beetroot-bunch-4,17
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/somerset-levels-collective-norwich-cucumber-5,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/somerset-levels-collective-norwich-cucumber-5,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/somerset-levels-collective-norwich/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/somerset-levels-collective-norwich-cucumber-5,45
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/wye-valley-pastures-bristol-leeks-trimmed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-leeks-trimmed-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-leeks-trimmed-1,16
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/wye-valley-pastures-bristol-seasonal-veg-box-small-2,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-seasonal-veg-box-small-2,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-seasonal-veg-box-small-2,25
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/wye-valley-pastures-bristol-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-apple-juice-cloudy-3,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-apple-juice-cloudy-3,31
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/wye-valley-pastures-bristol-onions-brown-4,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/wye-valley-pastures-bristol-onions-brown-4,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/wye-valley-pastures-bristol/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/wye-valley-pastures-bristol-onions-brown-4,34
https://demo.fooddatacollaboration.org.uk/api/dfc/offers/bramble-hill-market-garden-lewes-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/catalog-items/bramble-hill-market-garden-lewes-pears-conference-1,https://demo.fooddatacollaboration.org.uk/api/dfc/enterprises/bramble-hill-market-garden-lewes/customer-categories/retail/,https://demo.fooddatacollaboration.org.uk/api/dfc/prices/bramble-hill-market-garden-lewes-pears-conference-1,24
